1_1,1_2,1_3,1_4,1_5,1_6,2_1,2_2,2_3,2_4,2_5,2_6,3_1,3_2,3_3,3_4,3_5,3_6,4_1,4_2,4_3,4_4,4_5,4_6,5_1,5_2,5_3,5_4,5_5,5_6,6_1,6_2,6_3,6_4,6_5,6_6,Winner
O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,O,O,X,O,O,O,X,O,X,O,X,O,O,X,X,X,X,X,O,O,X,0
O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,O,0
O,X,O,X,X,O,O,X,O,X,O,X,O,X,O,O,X,X,X,O,O,O,X,X,X,O,O,X,X,O,X,X,O,X,O,O,0
O,X,X,X,O,O,X,O,O,O,X,X,O,O,X,X,O,X,X,O,O,X,O,X,O,X,O,O,X,X,X,O,O,X,O,X,0
X,X,X,O,O,X,O,O,O,O,O,O,O,X,X,O,X,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X,1
O,O,X,O,X,O,O,X,O,O,O,X,O,O,X,O,X,O,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,1
X,O,O,O,X,X,X,O,X,X,O,O,O,X,X,O,X,O,O,O,O,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,0
X,O,X,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,O,X,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X,1
X,X,X,O,O,O,O,O,X,X,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,O,X,O,O,O,X,X,X,O,X,0
X,O,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X,X,O,O,X,X,O,X,O,O,X,X,O,X,O,O,X,X,O,O,1
X,X,X,X,X,O,X,O,X,X,O,O,X,X,O,O,X,O,X,O,O,X,O,O,O,O,O,O,X,X,X,O,X,O,O,X,0
X,X,X,X,O,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,O,O,X,O,O,0
O,O,X,X,X,X,X,O,O,X,X,O,X,O,O,O,O,X,X,O,X,O,X,O,X,X,O,X,O,X,O,X,O,O,O,X,1
X,O,O,O,O,O,X,X,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X,X,0
O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,O,O,X,X,O,X,O,X,O,O,O,X,X,O,X,X,O,O,O,1
X,O,O,X,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X,O,X,O,O,X,X,X,O,X,O,O,X,X,X,O,1
O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,O,X,O,X,O,O,X,X,O,X,X,1
X,O,O,O,X,O,X,X,X,O,O,X,X,O,O,O,X,X,X,X,O,O,X,O,X,O,X,X,X,O,O,O,X,X,O,O,1
X,O,O,X,X,X,O,O,O,X,O,O,O,X,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,0
X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,0
X,O,O,X,O,O,X,O,O,X,X,O,X,X,O,O,X,X,O,O,X,X,O,O,X,O,O,O,X,O,X,X,X,X,X,O,0
X,X,X,O,O,O,X,O,O,X,X,X,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,O,O,O,X,X,O,O,X,1
X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,O,O,O,O,X,O,X,O,X,O,X,O,X,O,O,X,0
O,O,X,X,O,O,X,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X,O,X,X,O,O,X,O,O,O,X,X,O,X,O,1
X,X,O,O,X,O,X,X,O,O,O,X,X,X,X,O,O,X,X,O,O,X,X,O,O,O,X,X,X,O,O,O,O,X,O,X,1
O,O,O,O,X,X,O,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,O,O,X,O,X,X,O,0
X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,O,X,O,X,X,O,O,X,O,O,O,O,X,O,X,O,O,0
X,X,O,O,O,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,O,O,O,O,O,X,X,0
O,X,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,O,O,0
X,O,O,X,X,X,X,O,X,X,O,O,O,X,O,O,O,X,X,O,X,O,X,O,X,X,X,X,O,X,O,O,O,O,O,X,1
X,X,O,O,X,O,O,X,X,O,O,X,O,X,O,O,O,O,X,X,X,O,X,O,O,O,X,O,X,X,X,O,O,X,X,X,0
X,O,X,O,O,O,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X,O,O,O,X,X,X,O,O,O,X,O,O,X,X,O,1
X,O,O,X,O,X,O,O,X,X,X,X,X,O,O,X,O,O,X,X,X,O,O,X,X,X,O,X,O,O,O,O,O,O,X,X,0
O,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X,X,O,X,X,X,O,X,1
O,X,X,X,X,O,X,O,O,X,X,O,X,X,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X,X,O,O,X,O,X,0
O,X,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,O,X,1
O,X,X,O,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X,O,X,O,X,O,X,O,O,O,O,X,X,O,O,O,X,X,0
O,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,0
O,O,X,X,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,0
O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,O,O,X,1
X,X,O,O,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,O,X,O,O,O,O,X,O,X,X,0
X,X,X,O,X,X,X,O,O,X,X,O,X,O,O,O,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,O,O,O,X,O,1
X,O,O,O,O,X,O,O,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,0
X,O,X,O,O,X,X,O,X,X,X,O,O,X,X,O,X,O,O,O,O,O,X,O,X,X,X,O,X,O,X,O,O,X,X,O,0
X,X,O,O,O,X,O,O,X,X,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,O,O,X,O,X,X,O,O,0
O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O,O,O,O,O,X,O,X,O,X,X,X,X,O,O,X,O,X,0
O,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X,O,O,X,1
O,O,X,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,O,O,X,O,X,X,O,O,O,O,X,1
X,O,X,O,X,X,O,O,O,X,O,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,O,O,X,X,1
X,X,O,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,X,O,O,X,O,O,X,O,X,O,X,O,X,O,O,X,O,O,1
O,O,X,X,X,O,O,X,X,O,X,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,X,O,O,O,X,O,X,X,X,0
O,X,O,O,X,X,O,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,O,O,O,X,O,X,O,O,0
O,O,O,X,O,X,X,X,O,X,X,X,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,O,O,O,O,O,X,X,X,0
X,X,O,O,X,O,X,O,X,O,X,O,X,X,X,O,X,O,O,O,O,O,X,X,X,O,X,X,O,O,O,O,X,X,O,X,1
X,X,X,X,O,X,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X,X,O,O,O,O,O,O,X,X,O,0
X,O,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,O,O,O,O,O,O,X,X,O,O,X,X,O,O,X,O,X,1
O,O,O,X,X,O,X,X,X,O,X,O,O,X,X,O,O,X,X,O,X,O,O,X,O,O,X,X,O,O,X,O,X,O,X,X,1
X,X,X,O,X,X,O,O,O,X,X,O,X,X,O,O,O,O,X,X,O,X,X,X,O,O,O,O,O,X,X,X,O,O,X,O,0
O,X,O,O,O,X,X,X,O,X,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,O,O,X,O,X,0
O,O,X,O,O,X,O,O,X,X,O,X,O,X,X,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,O,X,O,X,0
O,O,X,X,O,X,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,O,O,O,1
O,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,O,O,O,O,O,O,O,O,O,X,X,1
X,X,O,O,X,X,O,O,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,O,O,O,O,X,O,O,X,O,0
O,X,X,X,X,O,X,O,X,O,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,O,X,X,X,O,O,O,X,X,O,0
X,O,X,X,X,O,O,X,X,X,O,O,O,X,O,X,O,X,O,X,X,X,O,O,O,O,O,X,O,X,X,X,O,O,O,X,0
O,O,X,X,O,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X,1
X,O,O,O,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,O,O,1
O,X,X,X,X,O,X,X,O,X,O,X,O,O,X,O,O,O,O,X,O,O,X,O,X,X,X,O,X,X,O,O,X,O,O,X,0
X,X,X,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X,X,X,O,X,O,O,O,0
X,O,X,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,O,O,O,X,X,O,O,O,O,O,1
X,O,O,X,X,O,X,X,X,O,X,O,O,O,O,X,O,X,O,X,O,X,O,O,X,X,O,O,O,X,X,O,X,X,O,X,1
O,X,X,O,O,X,X,X,X,O,O,O,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,O,O,O,1
X,O,X,O,X,O,X,X,X,O,X,X,X,O,O,O,X,O,O,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O,X,X,1
O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X,O,O,O,O,X,O,O,X,O,X,O,O,X,O,1
X,X,O,X,X,O,O,O,X,X,O,X,X,X,O,O,X,O,O,X,X,X,O,O,X,X,O,O,O,X,O,O,X,X,O,O,1
O,X,O,O,X,X,X,X,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,O,O,X,O,1
X,O,O,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,O,X,O,O,O,O,X,O,O,X,X,O,O,X,X,1
O,O,X,X,X,O,X,X,O,O,O,O,X,X,X,X,O,O,X,O,O,X,X,O,O,X,O,X,O,O,X,X,O,X,O,X,0
O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,O,X,O,X,O,O,X,X,O,O,O,X,X,O,O,O,X,O,O,0
O,O,X,X,X,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O,O,O,O,O,O,X,X,X,X,X,O,0
O,X,O,X,O,X,O,O,O,X,O,X,O,O,O,X,X,X,O,O,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,1
X,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,O,O,O,X,O,X,O,X,O,O,X,O,X,X,O,X,O,X,O,X,0
O,X,O,O,X,X,O,O,O,O,X,X,X,X,O,X,O,X,O,O,O,X,O,X,X,O,X,O,X,O,X,O,X,O,X,X,1
X,O,X,X,O,X,O,X,O,O,O,O,X,O,X,O,O,O,O,X,X,O,X,X,O,X,X,X,O,O,X,X,O,X,X,O,0
X,O,O,O,X,X,O,X,X,O,X,X,O,X,X,O,O,O,O,X,X,X,O,X,O,O,O,O,X,O,X,X,O,X,X,O,0
O,O,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O,O,O,O,O,X,O,O,X,X,X,O,X,0
O,X,O,X,O,O,X,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O,X,X,X,O,0
X,O,O,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,O,O,O,X,X,O,O,O,X,O,X,X,X,O,X,O,X,O,1
X,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,O,O,X,X,O,X,X,O,O,X,X,O,O,O,O,X,X,O,X,O,0
X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,O,O,O,X,X,O,O,O,X,O,O,O,X,X,O,X,O,1
O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O,O,O,X,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,1
O,O,X,X,X,X,X,O,O,X,O,X,O,O,O,O,O,O,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,O,O,X,0
O,O,O,X,X,X,O,X,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,O,O,X,O,1
X,O,X,O,X,X,O,O,O,O,X,X,X,X,O,O,X,O,X,O,O,X,O,X,X,O,X,O,X,O,O,X,O,X,O,X,0
O,X,O,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,1
X,O,X,X,X,X,O,X,X,X,O,X,X,O,O,O,O,O,O,O,O,X,O,X,X,O,X,O,O,O,X,X,X,O,O,X,0
O,X,X,O,O,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,O,X,X,O,O,O,O,O,X,O,O,X,X,O,O,0
X,X,O,X,X,O,O,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X,O,O,X,O,X,X,O,O,X,O,O,O,X,O,1
X,O,O,O,X,O,X,X,O,X,X,X,O,O,O,O,O,X,O,X,O,X,O,O,X,X,X,X,O,O,X,O,X,O,X,X,0
O,X,X,O,O,O,X,O,X,X,O,O,X,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,0
X,X,O,O,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X,O,O,X,X,X,O,O,O,O,X,O,X,0
O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,1
X,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O,X,X,O,X,O,X,O,O,O,1
X,O,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,O,O,O,X,O,O,O,X,O,X,O,X,O,1
O,X,O,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,O,O,X,O,O,O,X,O,O,0
O,X,O,X,X,O,X,O,O,O,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,O,X,X,O,O,X,O,0
X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X,X,O,O,O,1
X,X,O,X,O,O,O,O,O,O,X,X,O,X,X,X,O,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X,0
O,X,O,O,O,X,O,X,O,O,O,X,O,O,O,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,1
O,O,O,X,O,X,O,X,X,O,O,O,O,X,X,X,X,X,O,O,X,X,O,O,O,O,O,O,X,O,X,X,X,X,X,X,1
X,X,O,X,O,O,X,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,O,X,O,O,X,O,O,X,O,1
X,X,O,O,X,O,O,O,O,X,X,X,O,O,X,O,X,O,O,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,O,X,1
X,X,X,X,X,X,O,O,X,O,O,O,O,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,O,O,O,O,X,X,O,O,1
O,O,X,O,X,O,O,O,X,O,X,O,O,X,O,X,O,X,O,O,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,1
X,O,O,O,O,O,O,O,X,X,X,O,X,X,X,O,X,O,O,O,X,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,1
X,X,X,O,O,X,X,X,O,X,O,X,O,O,O,X,X,O,O,X,X,O,O,X,O,X,X,X,O,X,O,O,O,O,X,O,1
O,O,X,O,X,O,O,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X,O,O,X,O,O,O,X,X,O,X,X,O,O,0
O,O,O,O,O,X,O,O,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,O,O,O,1
O,O,O,X,X,O,O,O,O,O,X,X,O,X,X,O,X,O,O,X,X,O,O,X,X,O,X,X,X,X,O,X,O,X,X,O,0
O,O,X,O,X,X,O,X,O,O,O,X,X,O,O,X,O,X,O,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,1
O,X,X,X,X,X,X,O,O,X,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,0
O,X,X,O,O,O,X,O,O,X,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,O,O,X,O,X,O,X,X,X,O,X,0
X,X,X,O,O,X,O,X,X,O,O,O,X,X,X,O,X,X,O,O,X,X,O,O,X,O,O,O,O,X,O,X,O,O,X,X,0
X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,O,O,O,O,O,X,O,X,O,X,1
O,X,O,X,O,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X,1
X,O,O,O,X,X,O,X,X,X,X,O,O,X,O,O,X,O,O,X,O,X,X,X,O,O,X,X,O,X,X,O,O,O,O,X,1
X,O,O,X,O,X,O,X,O,X,O,O,X,O,O,X,X,X,O,O,X,X,O,X,X,O,O,O,X,X,O,O,O,X,X,X,1
X,X,O,X,O,X,X,X,O,O,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,O,X,O,O,O,O,O,O,X,O,X,0
X,X,O,X,O,X,O,O,X,X,O,O,O,X,O,O,O,X,O,O,X,O,X,O,X,X,X,X,O,X,O,X,O,O,X,X,0
X,X,X,O,O,O,X,X,X,X,X,O,X,O,O,O,X,X,O,X,O,O,X,O,O,X,O,X,O,X,X,X,O,O,O,O,0
X,O,O,O,O,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,O,O,O,0
X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,O,X,X,O,O,O,O,X,O,O,X,O,O,O,X,1
X,X,X,X,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,O,O,X,O,X,X,O,O,X,O,X,O,X,O,O,O,O,0
X,O,X,O,X,O,O,O,X,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,O,O,X,O,X,O,X,O,0
O,O,X,O,O,X,O,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,O,O,O,O,X,O,X,X,0
O,X,O,X,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X,X,O,O,O,O,X,X,X,1
O,X,O,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,O,O,X,0
O,O,X,O,O,X,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,0
